Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Titan,Karishma Analog Black Dial Men's Watch NM1639SM02/NN1639SM02,4.2 out of 5 stars,"2,360","₹1,695","₹1,995",(15% off)
Casio,Vintage A-158WA-1Q Digital Grey Dial Unisex Watch Silver Metal Strap (D011),4.4 out of 5 stars,"48,979","₹1,695",na,na
boAt,"boAt Lunar Discovery w/ 1.39"" (3.5 cm) HD Display, Turn-by-Turn Navigation, DIY Watch Face Studio, Bluetooth Calling, Emergency SOS, QR Tray, Smart Watch for Men & Women(Active Black)",3.9 out of 5 stars,"22,950","₹1,399","₹8,499",(84% off)
TIMEX,Analog Men's Watch (Dial Colored Strap),4.1 out of 5 stars,"22,807","₹1,198","₹1,895",(37% off)
Fastrack,Analog Unisex-Adult Watch,4.1 out of 5 stars,"14,152",₹805,₹895,(10% off)
Sonata,SF Quartz Analog White Dial Watch for Men-NS7930PP01,4.0 out of 5 stars,"11,823",₹675,na,na
Casio,Enticer Analog Dial Watch,4.3 out of 5 stars,"6,745","₹5,995",na,na
Casio,"Enticer Analog White Dial Men's Watch (MTP-V300L-7AUDF, A1177, Silver)",4.1 out of 5 stars,"1,562","₹3,795",na,na
Fossil,Decker Brown Watch,4.2 out of 5 stars,"5,958","₹6,371","₹8,495",(25% off)
Noise,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",4.0 out of 5 stars,"14,741","₹1,399","₹4,999",(72% off)
Fastrack,Vyb Rebel Quartz Analog Green Dial Watch for Men,4.3 out of 5 stars,32,"₹1,473","₹2,105",(30% off)
Titan,Minimals Quartz Analog with Date Black Dial Black Metal Strap Watch for Men - NT1806NM01,4.2 out of 5 stars,408,"₹3,196","₹3,995",(20% off)
